PKR,2 Crore,"I-10/2, I-10",3,3,5.6 Marla,(25*50)corner Construction House Marble Floors Beautiful Location For Sale,New Construction House Corner With 5 Marla Extra Land 3 Bedrooms 3 Bathrooms 2 Drawing Room... more
PKR,1.65 Crore,"I-10/1, I-10",6,6,4.4 Marla,25×40 Corner Triple Storey Open Face New Construction House For Sale,
PKR,1.8 Crore,"I-10/4, I-10",4,5,4.4 Marla,Brand New House For Sale,
PKR,2.8 Crore,"I-10/4, I-10",5,6,6.7 Marla,25x60 Brand New House For Sale,
PKR,2.25 Crore,"I-10/1, I-10",6,6,5 Marla,I101 New 25x50 Corner Triple Storey House For Sale Back Open With Extra Land,
PKR,2.84 Crore,"I-10/4, I-10",4,5,6.7 Marla,(25x60) Brand New Open Face Near To Market Near To Mosque With Big Extra Land For Sale,Open Face Brand New House With Big Extra Land Big Car Parking Near To Market Near To Mosque Top... more
PKR,2.86 Crore,"I-10/1, I-10",5,7,8 Marla,30x60 Brand New Tiles Floor House For Sale,Brand New House Tiles Floor near To Markaz Near To Mosque 5 Bedrooms 7 Bathrooms 2 Kitchen 2... more
PKR,2.2 Crore,"I-10/2, I-10",5,4,6.7 Marla,25x60 Brand New House Near To Market Near To Mosque For Sale,Brand New House Near To Markaz Near To Mosque Beautiful Outstanding Location Beautiful House 5... more
PKR,2.18 Crore,"I-10/4, I-10",6,6,5.6 Marla,Triple Storey New Construction House For Sale 25x50,NEW CONSTRUCTION HOUSE 3 storey house TOP LOCATION IN 10 ISLAMABAD 6 BEDROOMS 6 BATHROOMS 3... more
PKR,1.45 Crore,"I-10/1, I-10",6,3,4.4 Marla,Corner Beautiful House Available For Sale,"In l-10, you can enjoy some great locational benefits. Seeking good investment opportunity starting... more"
PKR,2.25 Crore,"I-10/4, I-10",6,6,5.6 Marla,New Construction Triple Storey House For Sale,New Construction Triple Story House Near To Market Near To Mosque 6 Bedrooms 6 Bathrooms 3... more
PKR,2 Crore,"I-10, Islamabad",5,4,5 Marla,1125 Square Feet House In I-10 Best Option,
PKR,2.25 Crore,"I-10, Islamabad",4,4,6.7 Marla,House For Sale In I-10 Islamabad,25X60 Beautiful Marble Flooring Park Phase House For Sale In I 10 2 Near To Markaz. Accommodation 1... more
PKR,1.8 Crore,"I-10, Islamabad",4,4,4 Marla,Brand New House For Sale In I 10 4,25x40 Brand New House For Sale In I 10 4 2 Beds 2 Bath Drawing And Kitchen On Ground Floor 2... more
PKR,2.85 Crore,"I-10/1, I-10",6,7,6.7 Marla,Size 30-60 Brand New Double Storey For Sale I-10-1,I-10-1 30×60 6 BEDROOMS 7 BATHROOMS 2 DRINING room 2 TV Lounge 2 kitchen 2 car PARKING ... more
